obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1715,96,3,S,Pembrokeshire,Wales,Pembrokeshire,14/09/2015,Minor,Surface water
1717,31,,,Nottinghamshire,Midlands - Solihull,Nottinghamshire,14/09/2015,,
1720,26,,,Lincolnshire,Anglian - Peterborough,Lincolnshire,14/09/2015,,
1720,28,,,Northamptonshire,Anglian - Peterborough,Northamptonshire,14/09/2015,,
1720,41,,,Worcestershire,Midlands - Solihull,Worcestershire,14/09/2015,,
1716,44,3,S,Redcar and Cleveland,Northeast - Leeds,Redcar and Cleveland,15/09/2015,Minor,Surface water
1718,21,,,Hampshire,Southeast South - Worthing,Hampshire,16/09/2015,,
1718,27,,,Norfolk,Anglian - Peterborough,Norfolk,16/09/2015,,
1718,70,,,Poole,Southwest - Exeter,Poole,16/09/2015,,
1718,34,,,Somerset,Southwest - Exeter,Somerset,16/09/2015,,
1718,69,,,Bournemouth,Southwest - Exeter,Bournemouth,16/09/2015,,
1718,16,,,Dorset,Southwest - Exeter,Dorset,16/09/2015,,
1718,6,,,Greater London,Southeast North - Reading,Gtr London,16/09/2015,,
1719,36,,,Suffolk,Anglian - Peterborough,Suffolk,18/09/2015,,
1721,23,3,S,Kent,Southeast South - Worthing,Kent,22/09/2015,Minor,Surface water
1722,10,3,S,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,06/10/2015,Minor,Surface water
1722,28,3,S,Northamptonshire,Anglian - Peterborough,Northamptonshire,06/10/2015,Minor,Surface water
1722,31,3,S,Nottinghamshire,Midlands - Solihull,Nottinghamshire,06/10/2015,Minor,Surface water
1722,33,3,S,Shropshire,Midlands - Solihull,Shropshire,06/10/2015,Minor,Surface water
1722,4,3,S,West Midlands,Midlands - Solihull,W Midlands,06/10/2015,Minor,Surface water
1722,39,3,S,West Sussex,Southeast South - Worthing,W Sussex,06/10/2015,Minor,Surface water
1722,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,06/10/2015,Minor,Surface water
1723,10,3,S,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,07/10/2015,Minor,Surface water
1723,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,07/10/2015,Minor,Surface water
1723,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,07/10/2015,Minor,Surface water
1723,28,3,S,Northamptonshire,Anglian - Peterborough,Northamptonshire,07/10/2015,Minor,Surface water
1723,33,3,S,Shropshire,Midlands - Solihull,Shropshire,07/10/2015,Minor,Surface water
1723,2,3,S,South Yorkshire,Northeast - Leeds,S Yorkshire,07/10/2015,Minor,Surface water
1723,4,3,S,West Midlands,Midlands - Solihull,W Midlands,07/10/2015,Minor,Surface water
1723,39,3,S,West Sussex,Southeast South - Worthing,W Sussex,07/10/2015,Minor,Surface water
1723,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,07/10/2015,Minor,Surface water
1726,67,3,S,Plymouth,Southwest - Exeter,Plymouth,27/10/2015,Minor,Surface water
1726,12,3,C,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,27/10/2015,Minor,Coastal \ tidal
1725,12,3,C,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,28/10/2015,Minor,Coastal \ tidal
1725,22,3,S,Hertfordshire,Southeast North - Reading,Hertfordshire,28/10/2015,Minor,Surface water
1725,31,3,S,Nottinghamshire,Midlands - Solihull,Nottinghamshire,28/10/2015,Minor,Surface water
1725,2,3,S,South Yorkshire,Northeast - Leeds,S Yorkshire,28/10/2015,Minor,Surface water
1725,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,28/10/2015,Minor,Surface water
1728,24,3,S,Lancashire,Northwest - Warrington,Lancashire,08/11/2015,Minor,Surface water
1733,13,3,R,Cumbria,Northwest - Warrington,Cumbria,09/11/2015,Minor,River
1729,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,09/11/2015,Minor,River
1730,13,,,Cumbria,Northwest - Warrington,Cumbria,09/11/2015,,
1731,90,,,Conwy,Wales,Conwy,09/11/2015,,
