obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1815,5,3,R,West Yorkshire,Northeast - Leeds,W Yorkshire,12/12/2015,Minor,River
1815,95,3,S,Ceredigion,Wales,Ceredigion,12/12/2015,Minor,Surface water
1815,90,3,S,Conwy,Wales,Conwy,12/12/2015,Minor,Surface water
1815,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,12/12/2015,Minor,Surface water
1815,89,3,S,Gwynedd,Wales,Gwynedd,12/12/2015,Minor,Surface water
1815,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,12/12/2015,Minor,Surface water
1815,94,3,S,Powys,Wales,Powys,12/12/2015,Minor,Surface water
1815,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,12/12/2015,Minor,Surface water
1817,13,,,Cumbria,Northwest - Warrington,Cumbria,12/12/2015,,
1818,94,3,R,Powys,Wales,Powys,13/12/2015,Minor,River
1818,5,3,R,West Yorkshire,Northeast - Leeds,W Yorkshire,13/12/2015,Minor,River
1819,13,,,Cumbria,Northwest - Warrington,Cumbria,13/12/2015,,
1820,33,3,R,Shropshire,Midlands - Solihull,Shropshire,14/12/2015,Minor,River
1821,33,3,R,Shropshire,Midlands - Solihull,Shropshire,15/12/2015,Minor,River
1822,97,3,S,Carmarthenshire,Wales,Carmarthenshire,19/12/2015,Minor,Surface water
1822,24,3,S,Lancashire,Northwest - Warrington,Lancashire,19/12/2015,Minor,Surface water
